epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8675,3.5937,5.57576,2.4331,0.00051,0.03636,0.00027,5e-05,3.11261,4.66456,2.13215,2e-05,2e-05,2e-05
2,28.217,3.46695,5.23738,2.38737,0.00064,0.04545,0.00034,0.00011,3.08535,4.60958,2.10324,5.8812e-05,5.8812e-05,5.8812e-05
3,40.4636,3.30182,4.83773,2.28565,0.00115,0.08182,0.00064,0.00026,3.06789,4.52446,2.00518,9.604e-05,9.604e-05,9.604e-05
4,50.0347,3.14492,4.76131,2.23817,0.00154,0.10909,0.0009,0.00037,2.90908,4.40604,1.82203,0.000131684,0.000131684,0.000131684
5,60.2006,3.03831,4.40505,1.96088,0.00231,0.16364,0.00143,0.00055,2.74282,4.30771,1.67508,0.000165744,0.000165744,0.000165744
6,70.1403,2.81367,4.08363,1.73045,0.00269,0.19091,0.00188,0.00064,2.61261,4.18139,1.55645,0.00019822,0.00019822,0.00019822
7,80.2372,2.74245,4.12508,1.6788,0.00321,0.22727,0.00209,0.0008,2.48212,4.10668,1.47959,0.000229112,0.000229112,0.000229112
8,93.6596,2.68346,3.84396,1.53967,0.00397,0.28182,0.00276,0.00101,2.36877,4.01058,1.41244,0.00025842,0.00025842,0.00025842
9,104.908,2.38399,3.46789,1.42173,0.00436,0.30909,0.00304,0.00114,2.31946,3.95314,1.38422,0.000286144,0.000286144,0.000286144
10,116.038,2.60045,3.43964,1.48006,0.00449,0.31818,0.00318,0.0013,2.24255,3.89551,1.35525,0.000312284,0.000312284,0.000312284
11,129.042,2.43505,3.39431,1.42419,0.00436,0.30909,0.00309,0.00138,2.1826,3.83329,1.33271,0.00033684,0.00033684,0.00033684
12,141.494,2.32773,3.04104,1.4012,0.00449,0.31818,0.00305,0.00141,2.14366,3.75454,1.3156,0.000359812,0.000359812,0.000359812
13,151.786,2.28864,3.13961,1.3731,0.00513,0.36364,0.00364,0.00153,2.11812,3.68164,1.2962,0.0003812,0.0003812,0.0003812
14,162.662,2.23346,2.98945,1.31524,0.00654,0.46364,0.0098,0.00567,2.03824,3.60404,1.26868,0.000401004,0.000401004,0.000401004
15,174.058,2.33196,2.92406,1.26497,0.00718,0.50909,0.04476,0.02558,1.98745,3.54487,1.24614,0.000419224,0.000419224,0.000419224
16,183.529,2.17873,2.92644,1.31091,0.00808,0.57273,0.05157,0.02874,1.93892,3.48199,1.23274,0.00043586,0.00043586,0.00043586
17,194.291,2.07898,2.8067,1.27039,0.00808,0.57273,0.06024,0.03322,1.92775,3.43176,1.23151,0.000450912,0.000450912,0.000450912
18,203.67,2.13897,2.61156,1.2329,0.00859,0.60909,0.06859,0.03851,1.8992,3.39657,1.21971,0.00046438,0.00046438,0.00046438
19,213.795,1.95924,2.4652,1.23275,0.00897,0.63636,0.05666,0.03222,1.87056,3.34624,1.20068,0.000476264,0.000476264,0.000476264
20,223.2,1.97924,2.45334,1.23872,0.00859,0.60909,0.09856,0.05118,1.85796,3.34308,1.19127,0.000486564,0.000486564,0.000486564
21,233.114,2.06247,2.55299,1.23119,0.00587,0.19091,0.11907,0.06153,1.78017,3.32202,1.16501,0.00049528,0.00049528,0.00049528
22,242.091,1.96086,2.33531,1.23104,0.00731,0.51818,0.07593,0.04353,1.75617,3.34393,1.16101,0.000502412,0.000502412,0.000502412
23,251.066,1.9527,2.38894,1.19706,0.00654,0.46364,0.05639,0.03235,1.71384,3.41746,1.16676,0.00050796,0.00050796,0.00050796
24,260.079,1.89818,2.12017,1.17571,0.00538,0.38182,0.05798,0.0357,1.80697,3.51418,1.2185,0.000511924,0.000511924,0.000511924
25,269.129,1.88845,2.06574,1.18829,0.00538,0.38182,0.06955,0.04098,1.81404,3.54091,1.22916,0.000514304,0.000514304,0.000514304
26,278.406,1.89304,2.23084,1.2372,0.00564,0.4,0.09534,0.05846,1.73795,3.49396,1.18432,0.0005151,0.0005151,0.0005151
27,287.492,1.83527,2.06831,1.13875,0.00769,0.54545,0.11107,0.06277,1.67933,3.39031,1.13405,0.000514312,0.000514312,0.000514312
28,296.746,1.83151,2.24328,1.14029,0.00769,0.54545,0.11107,0.06277,1.67933,3.39031,1.13405,0.00051194,0.00051194,0.00051194
29,305.884,1.95025,2.13076,1.16433,0.4876,0.2,0.18449,0.10564,1.67983,3.27185,1.09441,0.000507984,0.000507984,0.000507984
