epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4188,1.63596,2.40616,1.37626,0.86983,0.36783,0.40929,0.19369,1.6171,2.21873,1.38544,0.00028339,0.00028339,0.00028339
2,77.066,1.52591,2.13752,1.32668,0.86415,0.36624,0.39883,0.21794,1.46027,2.2952,1.30852,0.000577674,0.000577674,0.000577674
3,126.773,1.85339,2.57617,1.49809,0.83552,0.34076,0.36562,0.19046,1.51699,2.14408,1.31916,0.000866017,0.000866017,0.000866017
4,171.952,1.70912,2.27945,1.37677,0.87513,0.34713,0.39577,0.20514,1.55482,2.0449,1.38823,0.00114842,0.00114842,0.00114842
5,228.464,1.67981,2.17412,1.38904,0.89345,0.35282,0.40246,0.20984,1.57101,2.05825,1.40698,0.00142488,0.00142488,0.00142488
6,282.275,1.66307,2.22268,1.41303,0.83072,0.31109,0.32672,0.16596,1.61977,2.14265,1.43575,0.00158448,0.00158448,0.00158448
7,345.305,1.72502,2.34216,1.44764,0.81824,0.28344,0.32,0.14427,1.69969,2.18705,1.48256,0.00156798,0.00156798,0.00156798
8,410.533,1.7484,2.40808,1.46761,0.81925,0.26592,0.29052,0.14224,1.63198,2.16347,1.43877,0.00155148,0.00155148,0.00155148
9,475.289,1.75013,2.4292,1.5261,0.85469,0.26115,0.28347,0.14019,1.58692,2.10264,1.40416,0.00153497,0.00153497,0.00153497
10,539.447,1.691,2.30214,1.4324,0.8594,0.24522,0.26639,0.13001,1.57911,2.17069,1.40165,0.00151847,0.00151847,0.00151847
11,607.979,1.61575,2.13803,1.42682,0.87635,0.28981,0.31602,0.15738,1.57191,2.18099,1.38802,0.00150197,0.00150197,0.00150197
12,691.475,1.69004,2.17904,1.43751,0.86055,0.1879,0.20063,0.10018,1.59873,2.27641,1.41081,0.00148546,0.00148546,0.00148546
13,771.302,1.65511,2.07652,1.39677,0.85623,0.20911,0.23723,0.11728,1.58743,2.00874,1.39564,0.00146896,0.00146896,0.00146896
14,838.96,1.61662,2.13037,1.4109,0.82889,0.21975,0.23758,0.1149,1.81479,2.2219,1.56679,0.00145246,0.00145246,0.00145246
15,927.929,1.688,2.20412,1.43362,0.87111,0.21497,0.25991,0.13115,1.55737,1.84623,1.38243,0.00143595,0.00143595,0.00143595
16,1015.38,1.60285,1.99723,1.34489,0.85518,0.18153,0.21362,0.1067,1.57332,1.95133,1.40123,0.00141945,0.00141945,0.00141945
